wav_filename,wav_filesize,transcript
/data/shared-task/train/3571.wav,55718,i want a room for one week
/data/shared-task/train/3574.wav,46758,have a fitness studio
/data/shared-task/train/3575.wav,82598,i would like to buy three musical tickets
/data/shared-task/train/3576.wav,88998,i would like to go on monday night
/data/shared-task/train/3577.wav,77478,i would like to go on monday night
/data/shared-task/train/3579.wav,85158,i want three tickets for the lion king
/data/shared-task/train/3580.wav,71078,i would like to sit in the front
/data/shared-task/train/3581.wav,53158,i would like to sit in the front
/data/shared-task/train/3582.wav,117158,i would like to sit in the front
/data/shared-task/train/3583.wav,80678,i would like tickets for the national gallery
/data/shared-task/train/3584.wav,140198,i would like i would like nationaly i would ah
/data/shared-task/train/3588.wav,46758,i would like to pay with visa
/data/shared-task/train/3589.wav,51238,i would like to pay be visa
/data/shared-task/train/3592.wav,52518,i would like to bay with visa
/data/shared-task/train/3593.wav,65318,can i pay by pound
/data/shared-task/train/3594.wav,50598,can i pay by pound
/data/shared-task/train/3595.wav,66598,can i pay by pounds
/data/shared-task/train/3596.wav,59558,i would like a ticket to notting hill
/data/shared-task/train/3597.wav,89638,can i i pay by mastercard
/data/shared-task/train/3598.wav,62758,can i pay by master card
/data/shared-task/train/3599.wav,64678,can i pay by dollars
/data/shared-task/train/3604.wav,37158,i want a steak
/data/shared-task/train/3605.wav,42278,like my steak rare
/data/shared-task/train/3606.wav,55078,i would like my steak rare
/data/shared-task/train/3608.wav,40358,i would like
/data/shared-task/train/3610.wav,53158,could i take dessert menu
/data/shared-task/train/3618.wav,103078,two ticket to london
/data/shared-task/train/3620.wav,87078,i want to leave at nine o'clock tomorrow
/data/shared-task/train/3622.wav,64038,i am from turkey
/data/shared-task/train/3623.wav,72998,two music tickets please
/data/shared-task/train/3625.wav,87718,tickets for the monday evening
/data/shared-task/train/3626.wav,92838,tickets for the monday evening
/data/shared-task/train/3627.wav,97958,two tickets for lion of king
/data/shared-task/train/3628.wav,59558,two tickets for the
/data/shared-task/train/3630.wav,55078,i would like to sit
/data/shared-task/train/3631.wav,117158,i would sit in the
/data/shared-task/train/3634.wav,76838,five tickets please
/data/shared-task/train/3636.wav,30118,a single room
/data/shared-task/train/3637.wav,56998,a single room
/data/shared-task/train/3638.wav,41638,a single room please
/data/shared-task/train/3639.wav,60198,i would to play with my post card
/data/shared-task/train/3640.wav,58278,i would like to play with my post card
/data/shared-task/train/3641.wav,65958,i would like to play
/data/shared-task/train/3642.wav,72358,is there the hotel bar
/data/shared-task/train/3643.wav,49318,my name's nick
/data/shared-task/train/3644.wav,50598,i am from austria
/data/shared-task/train/3645.wav,80038,the capital of austria is
/data/shared-task/train/3647.wav,60838,i have a brother
/data/shared-task/train/3648.wav,67878,i have a brother
/data/shared-task/train/3649.wav,69158,i have one brother
/data/shared-task/train/3652.wav,64038,this is my pass
/data/shared-task/train/3654.wav,72998,a ticket from piccadilly circus
/data/shared-task/train/3655.wav,44198,like a ticket to piccadilly circus
/data/shared-task/train/3656.wav,93478,i would like a ticket to piccadilly circus
/data/shared-task/train/3657.wav,122278,i would like to play with my master card
/data/shared-task/train/3658.wav,83238,four musical tickets please
/data/shared-task/train/3659.wav,90918,four musical tickets
